REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
996161,W. HOWARD LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",5.427208084,1.300183244,7.629657282,82.92790697,36.02320273,32.52955655,80.72607572,9885261.877,17.21455334,7.21805406,1.6120178930000002,5.358248349,20.03723576,1.7759885964692816,1443976.0,2.271620528795677,4,49,4,Better_returns,3,3,3,3,4,5,4,4,3,3,3,3,3,5,2
1047978,A.C.BUCKOKE & SONS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-7.0707871939999976,0.165949173,-0.143642682,12.51055616,4.513034388,58.99387632,75.95432624,87311.9905,-17.92335223,-0.80888705,21.15804078,7.932227052000001,-17.92335223,21.158040776933287,-2464.0,-0.8401735037954907,0,27,1,Need_more_analysis,2,0,2,1,5,5,1,0,0,4,3,0,4,0,0
1084328,THE MALVERN COLLECTION LTD,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.604616042,1.8887732519999998,4.17781017,3.143293865,54.00761806,38.74366955,26.28921035,8807462.124,7.8105118220000005,4.3209302260000015,0.8272539320000001,23.581426899999997,8.000593955,0.8515906382244943,559651.0,3.045458411640985,3,47,3,Reasonable_performance,4,3,2,3,4,3,4,3,3,3,5,3,3,4,3
1087941,A.& J.SCOTT LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",5.365920501000001,1.7304081340000002,8.551195838,16.81363037,61.88466471,27.14210616,48.44431737,8024720.615,12.8469781,9.287044942,0.447772912,6.168164007000001,15.00702151,0.6159092155532931,2930397.0,3.5944315296360285,4,46,3,Reasonable_performance,4,3,2,3,4,4,4,3,4,2,3,3,2,5,3
1125264,N.C.T. & S. LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",45.40882292,3.341416497,5.776682351,16.47045007,84.46717695,26.98582523,80.51387309,57321.93296000001,10.11803073,9.954047921,0.019187321,0.495621294,11.78451593,0.18389182176091626,560.0,3.658508817613436,6,40,2,Moderate,5,3,2,4,4,5,1,3,4,1,2,3,1,2,4
1136954,HOWARTH TIMBER (WINDOWS & DOORS) LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-3.3758031139999995,1.060011541,44.14903846,120.7641196,12.55474453,37.1637809,75.63922465,3673999.6410000003,-23.32580888,-6.465067779,5.757475082999999,13.54677121,-51.49501661,6.965116279069767,4000.0,1.9516639063019523,0,38,2,Moderate,3,4,3,2,4,5,3,0,0,4,4,0,4,2,2
1168723,R. PLEVIN & SONS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.380714879,0.489391333,-3.8600994710000003,160.64889169999995,15.69685357,47.81712386,64.67144638,5973999.897000001,13.49379081,5.265261265,3.921297783,5.211970075,33.85801478,5.775538093611206,2957000.0,1.4341142191193854,4,45,3,Reasonable_performance,2,0,3,2,5,4,3,3,3,4,3,4,4,5,2
1176301,ROWLINSON PACKAGING LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.589501037,1.25122018,9.350535838999999,3.368022892,60.1324252,62.57789108,93.03078163,4956973.532,3.703306998,2.3018904190000002,0.629316061,19.93276979,3.828035225,0.6629962895928464,397074.0,2.048339771041728,3,44,3,Reasonable_performance,3,3,2,3,5,5,3,3,3,2,4,2,2,4,2
1176301,ROWLINSON PACKAGING LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-2.5552075380000003,1.7374548980000002,2.2555979269999997,3.14460488,56.96316851,72.35212428,147.47198669999997,7685768.5370000005,-2.9837328260000002,-1.7530753669999999,0.724074274,27.85745242,-3.077559434,0.7555203232323762,-86155.0,1.7875882163834131,0,35,2,Moderate,4,2,2,3,5,5,4,0,0,3,5,0,2,0,2
1185122,CHARLES RANSFORD & SON LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",17.12362408,8.228116724,1.467352709,3.3378841460000004,90.89117727,18.36819374,46.26169277,10153131.7,11.74678331,11.03316851,0.06683795599999999,21.68083022,12.13887733,0.1002167977789941,2864488.0,7.74952353585397,5,45,3,Reasonable_performance,5,1,2,4,3,4,4,3,4,1,5,3,1,5,5
